<<<<<<< HEAD
Cantón, Latitud, Longitud
Nicoya, 10.1507, -85.4500
Orotina, 9.9997, -84.4911
San José, 9.9281, -84.0907
Desamparados, 9.9936, -84.2689
Puntarenas, 9.9751, -84.8384
Jiménez, 9.7044, -83.0861
Carrillo, 10.4641, -85.4261
Cartago, 9.8624, -83.9317
Alajuela, 10.0225, -84.2274
Acosta, 9.8001, -84.3133
Coto Brus, 8.8524, -82.8694
Pococí, 10.0706, -83.4311
San Rafael, 9.9024, -84.3026
Buenos Aires, 9.2984, -83.1149
Bagaces, 10.3344, -85.0531
Escazú, 9.9375, -84.1497
Palmares, 9.9991, -84.4781
Heredia, 9.9925, -84.1185
Poás, 10.1800, -84.2400
Sarapiquí, 10.4064, -84.1202
San Carlos, 10.3323, -84.4595
Pérez Zeledón, 9.3485, -83.7226
Nandayure, 9.8802, -85.0715
San Ramón, 9.9304, -84.5611
Montes De Oca, 9.9446, -84.0580
Liberia, 10.6333, -85.4417
Santa Ana, 9.9201, -84.1700
Osa, 8.7412, -83.1701
Santa Cruz, 10.0452, -85.6572
Sarchí, 10.1667, -84.4794
Paraíso, 9.9145, -83.8981
Corredores, 8.9573, -83.0960
El Guarco, 9.9062, -83.8271
Guácimo, 10.0167, -83.3667
Upala, 10.9333, -84.9833
Cañas, 10.3667, -85.0167
Siquirres, 9.8558, -83.5223
Quepos, 9.4431, -84.1533
Puriscal, 9.5850, -84.3436
Naranjo, 10.0792, -84.4681
Golfito, 8.6343, -83.1554
Tibás, 9.9667, -84.0250
Vázquez De Coronado, 9.9342, -84.0707
La Unión, 9.9593, -83.8136
Talamanca, 9.5455, -82.8585
Río Cuarto, 10.0167, -84.6500
Belén, 9.9939, -84.1675
Aserrí, 9.8395, -84.0853
Hojancha, 9.9963, -85.4364
Tilarán, 10.4900, -84.9700
Dota, 9.5301, -83.7133
Atenas, 9.9497, -84.4167
=======
Cantón, Latitud, Longitud
Nicoya, 10.1507, -85.4500
Orotina, 9.9997, -84.4911
San José, 9.9281, -84.0907
Desamparados, 9.9936, -84.2689
Puntarenas, 9.9751, -84.8384
Jiménez, 9.7044, -83.0861
Carrillo, 10.4641, -85.4261
Cartago, 9.8624, -83.9317
Alajuela, 10.0225, -84.2274
Acosta, 9.8001, -84.3133
Coto Brus, 8.8524, -82.8694
Pococí, 10.0706, -83.4311
San Rafael, 9.9024, -84.3026
Buenos Aires, 9.2984, -83.1149
Bagaces, 10.3344, -85.0531
Escazú, 9.9375, -84.1497
Palmares, 9.9991, -84.4781
Heredia, 9.9925, -84.1185
Poás, 10.1800, -84.2400
Sarapiquí, 10.4064, -84.1202
San Carlos, 10.3323, -84.4595
Pérez Zeledón, 9.3485, -83.7226
Nandayure, 9.8802, -85.0715
San Ramón, 9.9304, -84.5611
Montes De Oca, 9.9446, -84.0580
Liberia, 10.6333, -85.4417
Santa Ana, 9.9201, -84.1700
Osa, 8.7412, -83.1701
Santa Cruz, 10.0452, -85.6572
Sarchí, 10.1667, -84.4794
Paraíso, 9.9145, -83.8981
Corredores, 8.9573, -83.0960
El Guarco, 9.9062, -83.8271
Guácimo, 10.0167, -83.3667
Upala, 10.9333, -84.9833
Cañas, 10.3667, -85.0167
Siquirres, 9.8558, -83.5223
Quepos, 9.4431, -84.1533
Puriscal, 9.5850, -84.3436
Naranjo, 10.0792, -84.4681
Golfito, 8.6343, -83.1554
Tibás, 9.9667, -84.0250
Vázquez De Coronado, 9.9342, -84.0707
La Unión, 9.9593, -83.8136
Talamanca, 9.5455, -82.8585
Río Cuarto, 10.0167, -84.6500
Belén, 9.9939, -84.1675
Aserrí, 9.8395, -84.0853
Hojancha, 9.9963, -85.4364
Tilarán, 10.4900, -84.9700
Dota, 9.5301, -83.7133
Atenas, 9.9497, -84.4167
>>>>>>> 96da0f649046087ad96650cc5231b514d6467301
San Mateo, 9.9333, -84.5000
